"","initialyear","team","Final Year","ra5","finalyear","ra5playoff"
"1",1903,"ATL",1907,-1.13248347277474,1907,0
"2",1903,"BAL",1907,-0.491761162238434,1907,0
"3",1903,"BOS",1907,0.0419806538342764,1907,1
"4",1903,"CHC",1907,1.33360781835766,1907,1.8
"5",1903,"CHW",1907,0.525105508238046,1907,1
"6",1903,"CIN",1907,-0.00387587793496656,1907,0
"7",1903,"CLE",1907,0.466378486764844,1907,0
"8",1903,"DET",1907,-0.00574216604243048,1907,0.8
"9",1903,"LAD",1907,-0.740264228078557,1907,0
"10",1903,"MIN",1907,-1.4031470309808,1907,0
"11",1903,"NYY",1907,0.23369784791141,1907,0
"12",1903,"OAK",1907,0.497174159922391,1907,0.8
"13",1903,"PHI",1907,-0.382519989749516,1907,0
"14",1903,"PIT",1907,1.00609697382972,1907,0.8
"15",1903,"SFG",1907,1.13789151951141,1907,1
"16",1903,"STL",1907,-1.08213904057032,1907,0
"17",1904,"ATL",1908,-1.15405546796007,1908,0
"18",1904,"BAL",1908,-0.369771562353602,1908,0
"19",1904,"BOS",1908,-0.271538830445421,1908,0
"20",1904,"CHC",1908,1.42078826770294,1908,2.8
"21",1904,"CHW",1908,0.771599048953652,1908,1
"22",1904,"CIN",1908,-0.117766227554167,1908,0
"23",1904,"CLE",1908,0.513242892819953,1908,0
"24",1904,"DET",1908,0.198657425902872,1908,1.6
"25",1904,"LAD",1908,-1.03709996924046,1908,0
"26",1904,"MIN",1908,-1.18070861976883,1908,0
"27",1904,"NYY",1908,-0.112939469582809,1908,0
"28",1904,"OAK",1908,0.311291598102482,1908,0.8
"29",1904,"PHI",1908,-0.0504834753444247,1908,0
"30",1904,"PIT",1908,0.963353177748714,1908,0
"31",1904,"SFG",1908,1.18704324853302,1908,1
"32",1904,"STL",1908,-1.07161203751385,1908,0
"33",1905,"ATL",1909,-1.23224440845994,1909,0
"34",1905,"BAL",1909,-0.398156807892735,1909,0
"35",1905,"BOS",1909,-0.352433734450414,1909,0
"36",1905,"CHC",1909,1.5145458757669,1909,2.8
"37",1905,"CHW",1909,0.656975818575107,1909,1
"38",1905,"CIN",1909,-0.231600663333126,1909,0
"39",1905,"CLE",1909,0.362524952269099,1909,0
"40",1905,"DET",1909,0.55724950387314,1909,2.4
"41",1905,"LAD",1909,-1.02954024290503,1909,0
"42",1905,"MIN",1909,-1.11087422317703,1909,0
"43",1905,"NYY",1909,-0.297235998209473,1909,0
"44",1905,"OAK",1909,0.443360561839772,1909,0.8
"45",1905,"PHI",1909,0.181382719722972,1909,0
"46",1905,"PIT",1909,1.17722683532339,1909,1
"47",1905,"SFG",1909,1.03016468948322,1909,1
"48",1905,"STL",1909,-1.27134487842586,1909,0
"49",1906,"ATL",1910,-1.23068623152374,1910,0
"50",1906,"BAL",1910,-0.505527941681457,1910,0
"51",1906,"BOS",1910,-0.317777998563407,1910,0
"52",1906,"CHC",1910,1.67118835423717,1910,3.6
"53",1906,"CHW",1910,0.368684043422144,1910,1
"54",1906,"CIN",1910,-0.28269183697923,1910,0
"55",1906,"CLE",1910,0.296770241119246,1910,0
"56",1906,"DET",1910,0.642110463278578,1910,2.4
"57",1906,"LAD",1910,-0.857256331129567,1910,0
"58",1906,"MIN",1910,-1.09933095129033,1910,0
"59",1906,"NYY",1910,-0.0949268643910468,1910,0
"60",1906,"OAK",1910,0.5752844706643,1910,1
"61",1906,"PHI",1910,0.121004598161843,1910,0
"62",1906,"PIT",1910,1.06503738459841,1910,1
"63",1906,"SFG",1910,0.875450857509423,1910,0
