"","finalyear","team","initialyear","ra3","ra3playoff","ra3_rescaled","ra3playoff_rescaled","sum"
"1",1905,"ATL",1903,-1.08770022811347,0,0.276665054188938,0,0.276665054188938
"2",1905,"BAL",1903,-0.703183881757053,0,0.36501964051778,0,0.36501964051778
"3",1905,"BOS",1903,0.849544606855826,1.66666666666667,0.72180728970977,0.333333333333333,1.0551406230431
"4",1905,"CHC",1903,0.888406744756403,0,0.730737074231537,0,0.730737074231537
"5",1905,"CHW",1903,0.337688778365133,0,0.604192497998465,0,0.604192497998465
"6",1905,"CIN",1903,0.375524402308612,0,0.612886409021226,0,0.612886409021226
"7",1905,"CLE",1903,0.348527833142154,0,0.606683107851841,0,0.606683107851841
"8",1905,"DET",1903,-0.272237530722697,0,0.464042964067908,0,0.464042964067908
"9",1905,"LAD",1903,-0.865757474455425,0,0.327663302700235,0,0.327663302700235
"10",1905,"MIN",1903,-1.45953778175669,0,0.191223814707217,0,0.191223814707217
"11",1905,"NYY",1903,0.246575741120478,0,0.58325644471699,0,0.58325644471699
"12",1905,"OAK",1903,0.527166174405017,1.33333333333333,0.647730821152748,0.266666666666667,0.914397487819415
"13",1905,"PHI",1903,-0.718442185822942,0,0.361513570732721,0,0.361513570732721
"14",1905,"PIT",1903,1.05855971683501,1.33333333333333,0.769835010127071,0.266666666666667,1.03650167679374
"15",1905,"SFG",1903,1.40873067352705,1.66666666666667,0.85029767528051,0.333333333333333,1.18363100861384
"16",1905,"STL",1903,-0.933865588687409,0,0.312013345772197,0,0.312013345772197
"17",1906,"ATL",1904,-1.30652313728283,0,0.226383686954132,0,0.226383686954132
"18",1906,"BAL",1904,-0.613960964729706,0,0.385521379909885,0,0.385521379909885
"19",1906,"BOS",1904,-0.0913145709769289,0,0.505615639500826,0,0.505615639500826
"20",1906,"CHC",1904,1.28893830206311,1.33333333333333,0.822771653236609,0.266666666666667,1.08943831990328
